IndivID,Name,Source,gwasID,Block,position_X,position_Y,edge,InitLeafLen,Bolting,Score
367,Rev-1,CS77214,8369,2,34,4,0,21,0,3
368,Co,CS3180,7081,2,34,6,0,24,1,1
369,Uod-7,CS22613,6976,2,34,8,0,30,0,2
370,Sanna-2,CS77234,8376,2,34,10,1,28,0,1
371,Wil-1,CS1595,8419,2,35,1,1,20,0,2
372,Kz-9,CS22607,6931,2,35,3,0,23,1,2
373,Ost-0,CS1431,8351,2,35,5,0,32,0,1
374,Lillo-1,CS77039,8242,2,35,7,0,40,0,2
375,Koln,CS76976,8239,2,35,9,0,24,1,1
376,En-1,CS76841,8290,2,36,2,0,30,1,1
377,Ove-0,CS1435,7287,2,36,4,0,34,1,1
378,Br-0,CS22628,6904,2,36,6,0,23,0,2
379,Dra3-1,CS76811,8283,2,36,8,0,35,0,1
380,Zu-1,CS78881,7418,2,36,10,1,27,0,1
381,Gr-1,CS1199,8300,2,37,1,1,38,0,3
382,Can-0,CS1065,8274,2,37,3,0,30,0,4
383,Spr1-2,CS22582,6964,2,37,5,0,35,0,3
384,Ms-0,CS22655,6938,2,37,7,0,30,0,0
385,Hi-0,CS1227,8304,2,37,9,0,15,1,1
386,Fei-0,CS22645,8215,2,38,2,0,23,1,1
387,Er-0,CS1143,7125,2,38,4,0,21,0,2
388,Bur-0,CS22656,5719,2,38,6,0,24,0,0
389,Lov-5,CS77050,6046,2,38,8,0,21,0,1
390,Sav-0,CS1515,8412,2,38,10,1,21,0,1
391,Rmx-A180,CS22569,7525,2,39,1,1,36,0,4
392,Lis-1,CS77042,8326,2,39,3,0,32,0,3
393,Ts-1,CS22647,6970,2,39,5,0,31,1,1
394,Petergof,CS926,7296,2,39,7,0,32,1,0
395,Ag-0,CS22630,6897,2,39,9,0,29,0,2
396,Pro-0,CS22649,8213,2,40,2,1,33,1,2
397,Santa_Clara,CS8069,7329,2,40,4,1,24,0,2
398,NFA-8,CS22598,6944,2,40,6,1,33,1,1
